..........AI : 14.533 s, Game : 4.759 s
Episode 202 avg. reward = 1.500, Long-term avg. reward = -0.277
..........AI : 8.533 s, Game : 2.771 s
Episode 203 avg. reward = 0.200, Long-term avg. reward = -0.273
..........AI : 9.846 s, Game : 3.130 s
Episode 204 avg. reward = 0.500, Long-term avg. reward = -0.265
..........AI : 8.101 s, Game : 2.388 s
Episode 205 avg. reward = -0.100, Long-term avg. reward = -0.263
..........AI : 10.918 s, Game : 3.620 s
Episode 206 avg. reward = 0.800, Long-term avg. reward = -0.253
..........AI : 12.056 s, Game : 3.715 s
Episode 207 avg. reward = 0.900, Long-term avg. reward = -0.241
..........AI : 11.012 s, Game : 3.550 s
Episode 208 avg. reward = 0.800, Long-term avg. reward = -0.231
..........AI : 7.608 s, Game : 2.397 s
Episode 209 avg. reward = -0.100, Long-term avg. reward = -0.229
..........AI : 7.787 s, Game : 2.528 s
Episode 210 avg. reward = 0.100, Long-term avg. reward = -0.226
..........AI : 8.919 s, Game : 2.910 s
Episode 211 avg. reward = 0.300, Long-term avg. reward = -0.221
..........AI : 7.761 s, Game : 2.511 s
Episode 212 avg. reward = 0.100, Long-term avg. reward = -0.218
..........AI : 10.328 s, Game : 3.230 s
Episode 213 avg. reward = 0.600, Long-term avg. reward = -0.209
..........AI : 9.203 s, Game : 2.915 s
Episode 214 avg. reward = 0.300, Long-term avg. reward = -0.204
..........AI : 6.541 s, Game : 1.914 s
Episode 215 avg. reward = -0.200, Long-term avg. reward = -0.204
..........AI : 9.906 s, Game : 3.274 s
Episode 216 avg. reward = 0.500, Long-term avg. reward = -0.197
..........AI : 6.969 s, Game : 2.217 s
Episode 217 avg. reward = 0.000, Long-term avg. reward = -0.195
..........AI : 9.646 s, Game : 3.035 s
Episode 218 avg. reward = 0.500, Long-term avg. reward = -0.188
..........AI : 11.060 s, Game : 3.527 s
Episode 219 avg. reward = 0.800, Long-term avg. reward = -0.178
..........AI : 7.405 s, Game : 2.338 s
Episode 220 avg. reward = -0.100, Long-term avg. reward = -0.178
..........AI : 11.770 s, Game : 3.897 s
Episode 221 avg. reward = 1.100, Long-term avg. reward = -0.165
..........AI : 6.263 s, Game : 1.938 s
Episode 222 avg. reward = -0.200, Long-term avg. reward = -0.165
..........AI : 7.901 s, Game : 2.467 s
Episode 223 avg. reward = 0.000, Long-term avg. reward = -0.164
..........AI : 10.695 s, Game : 3.525 s
Episode 224 avg. reward = 0.700, Long-term avg. reward = -0.155
..........AI : 16.357 s, Game : 5.432 s
Episode 225 avg. reward = 2.000, Long-term avg. reward = -0.133
..........AI : 10.811 s, Game : 3.645 s
Episode 226 avg. reward = 0.800, Long-term avg. reward = -0.124
..........AI : 9.717 s, Game : 2.879 s
Episode 227 avg. reward = 0.300, Long-term avg. reward = -0.120
..........AI : 12.497 s, Game : 4.148 s
Episode 228 avg. reward = 1.200, Long-term avg. reward = -0.107
..........AI : 11.894 s, Game : 3.787 s
Episode 229 avg. reward = 1.000, Long-term avg. reward = -0.096
..........AI : 7.951 s, Game : 2.599 s
Episode 230 avg. reward = 0.100, Long-term avg. reward = -0.094
..........AI : 13.867 s, Game : 4.239 s
Episode 231 avg. reward = 1.300, Long-term avg. reward = -0.080
..........AI : 8.594 s, Game : 2.669 s
Episode 232 avg. reward = 0.200, Long-term avg. reward = -0.077
..........AI : 7.683 s, Game : 2.567 s
Episode 233 avg. reward = 0.100, Long-term avg. reward = -0.075
..........AI : 14.418 s, Game : 4.657 s
Episode 234 avg. reward = 1.500, Long-term avg. reward = -0.059
..........AI : 9.702 s, Game : 2.884 s
Episode 235 avg. reward = 0.400, Long-term avg. reward = -0.055
..........AI : 8.310 s, Game : 2.736 s
Episode 236 avg. reward = 0.300, Long-term avg. reward = -0.051
..........AI : 6.941 s, Game : 2.056 s
Episode 237 avg. reward = -0.200, Long-term avg. reward = -0.053
..........AI : 8.116 s, Game : 2.678 s
Episode 238 avg. reward = 0.200, Long-term avg. reward = -0.050
..........AI : 6.448 s, Game : 2.056 s
Episode 239 avg. reward = -0.200, Long-term avg. reward = -0.052
..........AI : 11.183 s, Game : 3.335 s
Episode 240 avg. reward = 0.600, Long-term avg. reward = -0.045
..........AI : 8.701 s, Game : 2.878 s
Episode 241 avg. reward = 0.300, Long-term avg. reward = -0.042
..........AI : 8.871 s, Game : 2.769 s
Episode 242 avg. reward = 0.300, Long-term avg. reward = -0.038
..........AI : 11.108 s, Game : 3.549 s
Episode 243 avg. reward = 0.700, Long-term avg. reward = -0.031
..........AI : 7.878 s, Game : 2.363 s
Episode 244 avg. reward = -0.100, Long-term avg. reward = -0.032
..........AI : 12.372 s, Game : 4.026 s
Episode 245 avg. reward = 1.100, Long-term avg. reward = -0.020
..........AI : 10.358 s, Game : 3.400 s
Episode 246 avg. reward = 0.700, Long-term avg. reward = -0.013
..........AI : 9.059 s, Game : 2.992 s
Episode 247 avg. reward = 0.300, Long-term avg. reward = -0.010
..........AI : 14.821 s, Game : 4.767 s
Episode 248 avg. reward = 1.500, Long-term avg. reward = 0.005
..........AI : 4.379 s, Game : 1.412 s
Episode 249 avg. reward = -0.700, Long-term avg. reward = -0.002
..........AI : 11.191 s, Game : 3.578 s
Episode 250 avg. reward = 0.900, Long-term avg. reward = 0.007
..........AI : 11.907 s, Game : 3.882 s
Episode 251 avg. reward = 1.100, Long-term avg. reward = 0.018
..........AI : 10.191 s, Game : 3.204 s
Episode 252 avg. reward = 0.600, Long-term avg. reward = 0.024
..........AI : 12.058 s, Game : 3.807 s
Episode 253 avg. reward = 1.000, Long-term avg. reward = 0.034
..........AI : 12.577 s, Game : 4.137 s
Episode 254 avg. reward = 1.200, Long-term avg. reward = 0.045
..........AI : 12.826 s, Game : 4.104 s
Episode 255 avg. reward = 1.200, Long-term avg. reward = 0.057
..........AI : 14.138 s, Game : 4.604 s
Episode 256 avg. reward = 1.500, Long-term avg. reward = 0.071
..........AI : 10.150 s, Game : 3.258 s
Episode 257 avg. reward = 0.500, Long-term avg. reward = 0.076
..........AI : 7.670 s, Game : 2.477 s
Episode 258 avg. reward = 0.100, Long-term avg. reward = 0.076
..........AI : 7.625 s, Game : 2.474 s
Episode 259 avg. reward = 0.000, Long-term avg. reward = 0.075
